"Название";"ID";"Просмотры";"Канал";"Исходное видео";"Миниатюра"
"СЕРГЕЙ ЖУКОВ / БОГДАН ЛИСЕВСКИЙ / Плюшки шоу #1";"a5JIbzfwxhM";"2.2M";"Wink";"ozvKB4JvaXM";"https://i.ytimg.com/vi/a5JIbzfwxhM/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCtCgtOsR_wL-vgIrXfwaOGbucSFA"
"БРАТИШКИН СМОТРИТ - Богдан Лисевский ""СОБАЧИЙ КАЙФ"" Стендап 2025 (Плюшки)";"fTNDm6mwBmM";"412K";"Bratishkin Rofls";"ozvKB4JvaXM";"https://i.ytimg.com/vi/fTNDm6mwBmM/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDCLQsyY0XLcHodGwzWOBNRDGvNtw"
"Лукашенко: Моя родина научилась мороженое делать? // Президент на ферме!";"nh-jQG1tDng";"1.7M";"Информационное агентство БелТА";"ozvKB4JvaXM";"https://i.ytimg.com/vi/nh-jQG1tDng/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBSDW_zIsSo28vSyCo3uz-t5VGDeQ"
"КОНЦЕРТЫ: Ансамбль ""Плюшки""";"KE6oK25qEco";"4.1M";"ТНТ Смотри еще!";"ozvKB4JvaXM";"https://i.ytimg.com/vi/KE6oK25qEco/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCuIHkYA1U3uomWcIpbCqtGOG5yWg"
"БРАТИШКИН СМОТРИТ НЕВОШЕДШЕЕ С ПАШЕЙ ТЕХНИКОМ";"W5-FAegSKgY";"26K";"Trappin` so hard Manic";"ozvKB4JvaXM";"https://i.ytimg.com/vi/W5-FAegSKgY/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYJyBNKH8wDw==&rs=AOn4CLA4I-_MyXpeoEcdgPuFuNU5v_Uaog"
"МЕДОВЫЙ МАРКАРЯН - ИВАН ХАЛИЛОВ";"wVz6xzPDTsg";"314K";"это всё.";"ozvKB4JvaXM";"https://i.ytimg.com/vi/wVz6xzPDTsg/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLD6lZlO23oRF6DUWhU1gNoeRtmMxw"
"Артём Дзюба - Про то самое ВИДЕО и ЗАВЕРШЕНИЕ КАРЬЕРЫ / Опять не Гальцев";"qJPVGNX0jF4";"12M";"Плюшки";"ozvKB4JvaXM";"https://i.ytimg.com/vi/qJPVGNX0jF4/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBjbmktRmgL0aoQ3VCxNB7pJxfp4w"
"Плюшки /Лучшее";"9GUJEngPpAU";"1.1M";"Официальный канал КВН";"ozvKB4JvaXM";"https://i.ytimg.com/vi/9GUJEngPpAU/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDYxEWURnX7cRDf0DpZx5H2jKygHQ"
"Леонид Слуцкий - Про Fan ID и роман с Митей Хрусталёвым / Опять не Гальцев";"aUexQatqQBg";"9.8M";"Плюшки";"ozvKB4JvaXM";"https://i.ytimg.com/vi/aUexQatqQBg/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCVGF_iAwVJBnVbUR3gniwaazpWdA"
"Павел Деревянко - О фильмах и телефонном разговоре с Порошенко / Опять не Гальцев";"x5BufW-Vy4U";"10M";"Плюшки";"ozvKB4JvaXM";"https://i.ytimg.com/vi/x5BufW-Vy4U/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLARiWsNSjx8YINSoJrPMhIUe5n80g"
"Леонид Слуцкий - ЕДЕМ НА РЫНОК";"UADlyZq8g-A";"5.6M";"Плюшки";"ozvKB4JvaXM";"https://i.ytimg.com/vi/UADlyZq8g-A/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCUcr_rBJ0rFHvXa_gVAQL6tJ7xdg"
"РАВШАНУ ПОДАРИЛИ НОВЫЙ IPHONE 17 PRO MAX В МОСКВЕ !💲| СРАВНЕНИЕ НОВОГО IPHONE VS ANDROID !";"_6KGdRpj7g0";"10K";"STAYA DRIFT";"ozvKB4JvaXM";"https://i.ytimg.com/vi/_6KGdRpj7g0/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDzkPw83gWSuN_C22eN-5uFmzamqA"
"Ваня Усович про года и лета";"L5Sn0gELXGs";"1.6M";"Stand-Up Club #1. BEST";"ozvKB4JvaXM";"https://i.ytimg.com/vi/L5Sn0gELXGs/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCN2ZlXs1FSRtN_xFP0GP7L86yVhw"
"АТТРАКЦИОН ""РОГАТКА"" | ЛУЧШИЕ РЕАКЦИИ ЛЮДЕЙ!";"6nMNrHobJ4M";"2K";"Сергей Стен";"ozvKB4JvaXM";"https://i.ytimg.com/vi/6nMNrHobJ4M/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLD4GMSpoCehVvZshUGy_-Bz5TxxOQ"
"ЛИЧКА | Ирина Мягкова, Алексей Щербаков | №17";"2AGjKKFcu0c";"351K";"Ирина Mягкова";"ozvKB4JvaXM";"https://i.ytimg.com/vi/2AGjKKFcu0c/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLB70ZrdWhTx8BAAqLKPJR7bbaqguw"
"Стас Ярушин - ДЕЛАЕМ НОВЫЙ РОТ";"w07EtOdkB5w";"5M";"Плюшки";"ozvKB4JvaXM";"https://i.ytimg.com/vi/w07EtOdkB5w/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLA0QzKLX9XHBE4dEllyBHqam-sWVg"
"йоу";"h0kapua2suU";"Неизвестно";"Cryoshow";"ozvKB4JvaXM";"https://i.ytimg.com/vi/h0kapua2suU/hqdefault.jpg?v=68cf1c2d&sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBk2ucfilJBBWsJ8u_ni4fR3jGA0g"
"Саша Бортич - АКТЕРСКИЕ КУРСЫ";"SrqW2W5HQXY";"5.7M";"Плюшки";"ozvKB4JvaXM";"https://i.ytimg.com/vi/SrqW2W5HQXY/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLAd1iCqUmG709eJN3JO_uRIzjFHYA"
"ТОКСИКИ #21 | Богдан Титомир, DJ MEG, Илья Соболев";"QX5Pjw2rrSs";"312K";"Илья Соболев";"ozvKB4JvaXM";"https://i.ytimg.com/vi/QX5Pjw2rrSs/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDgb7KrlqtgtiSCiK6rK9ZC_iPL4A"
"ЧАТ РУЛЕТКА Привет друзья в этом выпуске гитарист  в чат рулетке  который играет все песни";"66mcjBYfinQ";"Неизвестно";"Дядя Алик";"ozvKB4JvaXM";"https://i.ytimg.com/vi/66mcjBYfinQ/hqdefault.jpg?v=37&sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLAN72HpAAemqYjbjJcsiSCtb2mnuA"
"До каких уровней может упасть рубль? Стрим.";"ajVKybcAuQI";"2.4K";"Сергей Дроздов - Доллар, Рубль, Рынки, Инвестиции";"ozvKB4JvaXM";"https://i.ytimg.com/vi/ajVKybcAuQI/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYLyBlKEIwDw==&rs=AOn4CLB97zBXBzwO3tPcwW0zggAjcPYlmQ"
"Угадай Настоящего Экстрасенса! Взрослые Угадывают (Сатир, Хазяева, DK, Sqwoz Bab, Кокошка, Данон)";"4PvTeYnbHmw";"10M";"ExileShow";"ozvKB4JvaXM";"https://i.ytimg.com/vi/4PvTeYnbHmw/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLB82rMuhuPDXm-4JaCmIwngyKn8OA"
"Сборник Лучших Номеров ""Веселая Семья"" - Уральские Пельмени";"T2nhcOxV4UI";"11M";"Уральские Пельмени";"aJuAT74OVpk";"https://i.ytimg.com/vi/T2nhcOxV4UI/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLD-E-tNo_m1VebXW3VnIZ0SEwjsjA"
"Сборник Великолепная Пятёрка Номеров Иланы – Уральские Пельмени";"8ij2JuMqH8o";"365K";"Уральские Пельмени";"aJuAT74OVpk";"https://i.ytimg.com/vi/8ij2JuMqH8o/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLApK8o4yZffYYV3n63kGq4NsbTuhA"
"Лифт — Уральские Пельмени | Чем торт не шутит";"DT01Apiw_os";"4.6M";"Уральские Пельмени";"aJuAT74OVpk";"https://i.ytimg.com/vi/DT01Apiw_os/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDt_NoftOKzCogeE3kYHqCKEJk55Q"
"Сборник Лучших Номеров ""Коля-жмот"" - Уральские Пельмени";"NjWuUsn0LXI";"13M";"Уральские Пельмени";"aJuAT74OVpk";"https://i.ytimg.com/vi/NjWuUsn0LXI/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLAf6r8WxgEpidB2MwOG_yFOQfhyWg"
"Лебединое озеро — Уральские Пельмени | Бубновый ТЮЗ";"STUhV3LfazI";"609K";"Уральские Пельмени";"aJuAT74OVpk";"https://i.ytimg.com/vi/STUhV3LfazI/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCANQXp_k_eDSQ_2ZQtZYxUpMYrKA"
"Три мамочки — Уральские Пельмени | В семье не без народа";"riO1PkXHFwM";"3.2M";"Уральские Пельмени";"aJuAT74OVpk";"https://i.ytimg.com/vi/riO1PkXHFwM/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCTN97WAg2NYbYf8vnTV1AhaXVcLA"
"Сборник Сон, Да и Только - Уральские Пельмени";"k31plMIz2cM";"6.4M";"Уральские Пельмени";"aJuAT74OVpk";"https://i.ytimg.com/vi/k31plMIz2cM/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDWDnXJpnowp3Em-PgmGiQ005Kg9Q"
"Сын пришел с фингалом — Уральские Пельмени | Азбука Уральских Пельменей - С";"hVKTGgQ4Qyc";"5.2M";"Уральские Пельмени";"aJuAT74OVpk";"https://i.ytimg.com/vi/hVKTGgQ4Qyc/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDQTD3XbbnA-MAdCUgcfn7owU81rQ"
"Мальчика Витю лишили планшета  — Уральские Пельмени | Азбука Уральских Пельменей - Т";"aeSj8pXAz54";"6.7M";"Уральские Пельмени";"aJuAT74OVpk";"https://i.ytimg.com/vi/aeSj8pXAz54/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLA73t_ntZTsV0W38JkceHZt0C3DCg"
"Регистратура — Уральские Пельмени | Всё лето в шляпе";"X7t8TpYa_Hk";"766K";"Уральские Пельмени";"aJuAT74OVpk";"https://i.ytimg.com/vi/X7t8TpYa_Hk/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCuFFxQhQwBQdwWa2z6GMZRkh9lYQ"
"Азбука Уральских пельменей - Ф | Уральские пельмени 2020";"Xhb3Wo098Zo";"4.8M";"СТС";"aJuAT74OVpk";"https://i.ytimg.com/vi/Xhb3Wo098Zo/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCyuG4ZCHBBy7kzshvKJi7Vpo5Ylg"
"Будьте бобры | Уральские Пельмени";"eFDJP8ynt78";"3.6M";"СТС";"aJuAT74OVpk";"https://i.ytimg.com/vi/eFDJP8ynt78/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLAeZrKHclvGxG-cmrZc_TdFhJX_DQ"
"Путешествие по сказке ""Каша из топора"".";"CZDya76q50U";"414";"ТИМУР И К0";"aJuAT74OVpk";"https://i.ytimg.com/vi/CZDya76q50U/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYfyBFKBMwDw==&rs=AOn4CLDp6bl8ikl7qiYcE8f8NiGer3HiQQ"
"[RU] Titled Arena 1+0 с мастерами #shorts #игры #chess #lichess #шортс #ermolaevchess lichess.org";"oQsMnYc48Ok";"Неизвестно";"Шахматы с Андреем Ермолаевым";"aJuAT74OVpk";"https://i.ytimg.com/vi/oQsMnYc48Ok/hqdefault.jpg?v=68ceeca0&sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBYAPfnEZG6Jww2ozjj8mH990Z8Mg"
"Горячий репортаж с секретного предприятия";"T9262x1o5pw";"97";"Владимир Дёмкин (#DEMKIN)";"aJuAT74OVpk";"https://i.ytimg.com/vi/T9262x1o5pw/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBaLoeGFHzbdVnOR6ZODqgwLDPw6A"
"САШАТАНЯ: 7 сезон | 35-37 серии @TNT_serials​";"1oV0hzjhu7g";"8.3K";"Aliya Mughal";"aJuAT74OVpk";"https://i.ytimg.com/vi/1oV0hzjhu7g/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBggRCMvbPrMnEj_f69KRuPJ16wjA"
"Неужели m0NESY потерял форму?";"ogn_e97z_lQ";"32K";"CYBERSHOKE";"aJuAT74OVpk";"https://i.ytimg.com/vi/ogn_e97z_lQ/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCotsOFgc9x261S2-AXV9ryGr-Pjg"
"Поздравь одним словом - вечеринка 90-х - Ведущий Владимир Дёмкин";"ICkzDCtEtFE";"100";"Владимир Дёмкин (#DEMKIN)";"aJuAT74OVpk";"https://i.ytimg.com/vi/ICkzDCtEtFE/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBr2kz8H7MGpiBoPXLVBCVtO_5HKg"
"1/4 ЭТАП | ТДМ ТУРНИР ЗА ЗВАНИЕ ЛУЧШЕГО КЛАНА В ТАДЖИКИСТАНЕ.";"o8LlaZc6dL8";"299";"BLOODY GAMER";"aJuAT74OVpk";"https://i.ytimg.com/vi/o8LlaZc6dL8/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLAV3ZXD95oJVY2-j4w6V390yRFzwA"
"Полина идет гулять — Уральские Пельмени | География Уральских Пельменей - Мексика";"S40LVTOzhHY";"1.6M";"Уральские Пельмени";"CZDya76q50U";"https://i.ytimg.com/vi/S40LVTOzhHY/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBMUoklsOiHyb-ZpORqq4B018F_mQ"
"Каша из топора";"ZihDgEMbGo4";"572K";"Мультики студии Союзмультфильм";"CZDya76q50U";"https://i.ytimg.com/vi/ZihDgEMbGo4/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4AdYEgALgA4oCDAgAEAEYZSBkKFMwDw==&rs=AOn4CLBhxDznHUQkDTgXmFJXZ9RzZsbN-Q"
"Театр, где играем мы (ко Всемирному Дню театра)";"ysspc3lwEgA";"177";"ТИМУР И К0";"CZDya76q50U";"https://i.ytimg.com/vi/ysspc3lwEgA/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYZSBbKFAwDw==&rs=AOn4CLCeHN9-1Ko-P4C-AVOZSkx4CHBCcg"
"Что у Нас На Ужин | Жаренный Лосось | Филе Свинины | Дегустируем Тортик | Семейный Влог | Эгине";"ZX4Hy5rKtU0";"187K";"Heghineh Cooking Show in Russian";"CZDya76q50U";"https://i.ytimg.com/vi/ZX4Hy5rKtU0/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCMYD6KRhiUk3IiSuQEV3HH2LK4YA"
"Песня про завод — Уральские Пельмени | 17 Полений Сосны";"SUYqJPqI8oM";"1.4M";"Уральские Пельмени";"CZDya76q50U";"https://i.ytimg.com/vi/SUYqJPqI8oM/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLB54z74hzOX-VMats9KltLa06vG9g"
"Каша из топора. Сказка для детей / Мультфильм / Машулины сказки / Любимые народные сказки";"okduvOyV5UY";"357K";"iMasha Сказки";"CZDya76q50U";"https://i.ytimg.com/vi/okduvOyV5UY/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDbKO6hQV57MUDJ_4dA-QUPQt2p2w"
"КАША ИЗ ТОПОРА | Аудио сказка | РУССКАЯ НАРОДНАЯ СКАЗКАСКАЗКИ ДЛЯ ДЕТЕЙ | Слушать сказки онлайн";"wRftp-Wl-XQ";"34K";"Аудиосказки для детей от Марины Аверс";"CZDya76q50U";"https://i.ytimg.com/vi/wRftp-Wl-XQ/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLAcv1soDyIZfq-DRG9fU376sHcwtQ"
"Правда о колонии для бывших силовиков и чиновников? Чем они вынуждены заниматься за решеткой";"-ANZa8jssC4";"1.1M";"Телекомпания ОТВ";"CZDya76q50U";"https://i.ytimg.com/vi/-ANZa8jssC4/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLAQ-EVOidTgBiPUw1N9Tp8JJ4wgIQ"
"Новые Ковры | Готовлю Осьминог 🐙 | Наш Гурманский Ужин | Семейный Влог | Эгине | Heghineh";"xOPwl3YHulw";"163K";"Heghineh Cooking Show in Russian";"CZDya76q50U";"https://i.ytimg.com/vi/xOPwl3YHulw/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDTIlefXqAhibPpP8wM0E8umn9toQ"
"Воспоминания через Семейный Архив от солдата до ветерана";"mD0uvlfmtBM";"117";"ТИМУР И К0";"CZDya76q50U";"https://i.ytimg.com/vi/mD0uvlfmtBM/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYZSBlKGUwDw==&rs=AOn4CLCZByGNgdw4Hcyh-BOzVgVC0MCVBg"
"Обзор еды Каша из Топора. Походные сублиматы";"0yrHf5ybpvs";"16K";"Tactical+";"CZDya76q50U";"https://i.ytimg.com/vi/0yrHf5ybpvs/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLA_02bRN1YIVr4Gl_a9YvSfR-5PGQ"
"Проверь свои знания о сказках Пушкина!";"Hiwc3bCm2HU";"63";"ТИМУР И К0";"CZDya76q50U";"https://i.ytimg.com/vi/Hiwc3bCm2HU/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYfyBDKBowDw==&rs=AOn4CLDho7fD5o3xTYCugD-geUIFj6riVA"
"Каша из топора. Библио-флешбук";"i2rtQVXvxJI";"4K";"Карачевская библиотека им. Баранских НН и НВ";"CZDya76q50U";"https://i.ytimg.com/vi/i2rtQVXvxJI/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYZSBXKEMwDw==&rs=AOn4CLDI3f3uLFVlVKqH633KvCcZDoTPMg"
"Русская народная сказка ""Каша из топора""";"4gCqKokSM8g";"1.7K";"Детский сад Мир Чудес";"CZDya76q50U";"https://i.ytimg.com/vi/4gCqKokSM8g/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBv54p9EZG4VCIvx2N1ax_D1mI9tQ"
"Пожелание к Рождеству словами Расула Гамзатова";"rvKveJLfcGc";"173";"ТИМУР И К0";"CZDya76q50U";"https://i.ytimg.com/vi/rvKveJLfcGc/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYTSBcKGUwDw==&rs=AOn4CLCQW785JfMis3l3sTd9iUWjR2bjdA"
"Как вкусно приготовить МОЛОЧНО-РИСОВУЮ КАШУ Нежная и ароматная молочно-рисовая каша.Milk porridge.";"MSKye6wbdaM";"3.6M";"Инна Лайм";"CZDya76q50U";"https://i.ytimg.com/vi/MSKye6wbdaM/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYZSBeKEYwDw==&rs=AOn4CLAoewjNuWgGRoR36Vu0IVGL4xUkhg"
"Пеку 3 Вида Хлеба 🥨 🥖 🍞 | Готовлю Ужин | Кебаб С Картошкой | Семейный Влог | Эгине | Heghineh";"u1hrOqSOP9w";"169K";"Heghineh Cooking Show in Russian";"CZDya76q50U";"https://i.ytimg.com/vi/u1hrOqSOP9w/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLAI3zunHXQeIv271YmDHjgRlfFVrA"
"Каша из топора";"a4rHHuJuiw4";"1.6K";"SergeiGrokhovsky";"CZDya76q50U";"https://i.ytimg.com/vi/a4rHHuJuiw4/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4AdQGgALgA4oCDAgAEAEYciBCKC4wDw==&rs=AOn4CLCTmZJwA_22Cj7Tnrgm4isWotEPNw"
"КАША ИЗ ТОПОРА";"9WreTuzCxJ8";"788";"Alex Survival";"CZDya76q50U";"https://i.ytimg.com/vi/9WreTuzCxJ8/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLC8clORbGSqZrFVINT0X2IGYA5Yxg"
"ПУТЬ ОХОТНИКА ЗА ГОЛОВАМИ | RimWorld Odyssey 1.6";"qztcKuMzNqA";"18K";"Cealdre";"o8LlaZc6dL8";"https://i.ytimg.com/vi/qztcKuMzNqA/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDd6fMhYbntG6DKATTZ4tBQs7zjkg"
"SOMONI GAMING. EVENT // КЛАССИЧЕСКИЙ ТУРНИР МЕЖДУ ТАДЖИКАМИ...";"XFifxst7PEo";"187";"BLOODY GAMER";"o8LlaZc6dL8";"https://i.ytimg.com/vi/XFifxst7PEo/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLAjJEMmZjTdbPaHIaX_zKY2adPEHQ"
"1/4 ЭТАП | ТДМ ТУРНИР ЗА ЗНАНИЕ ЛУЧШЕГО КЛАНА В ТАДЖИКИСТАНЕ.";"kcZYA2hVFWY";"368";"BLOODY GAMER";"o8LlaZc6dL8";"https://i.ytimg.com/vi/kcZYA2hVFWY/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBVzWko05yGtT218ON8Q9JrJ-bgCw"
