"Название";"ID";"Просмотры";"Канал";"Исходное видео";"Миниатюра"
"Weduwe Charlie Kirk reageert op moordaanslag | RTL Nieuws";"Zry6sLnuCq0";"96K";"RTL Nieuws";"2ozKwlXEIgU";"https://i.ytimg.com/vi/Zry6sLnuCq0/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDX5kO9jxnqBPmIZ4vX1HYmvv9v5g"
"Eigen songfestival is ‘meer dan een propagandashow voor Poetin’";"1DkHu5nQnP0";"237";"BNR";"2ozKwlXEIgU";"https://i.ytimg.com/vi/1DkHu5nQnP0/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYANgBAeIBCggYEAIYBjgBQAHwAQH4AbYIgAK4CIoCDAgAEAEYRyBWKGUwDw==&rs=AOn4CLDk-jCdMLWqwKAw9Rk1Z6n_OSM0uQ"
"Отчет Фонда ""Город без наркотиков"" 16-22 января.mp4";"V1VE44XFrP8";"20K";"Vaizner Production";"2ozKwlXEIgU";"https://i.ytimg.com/vi/V1VE44XFrP8/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4AdYEgALgA4oCDAgAEAEYciA-KDwwDw==&rs=AOn4CLB1WdWpWEbQsQyP7Ba73emrKqTk0w"
"Почему надо выбирать колокола по звуку, а не по весу?";"dyzkBOIUfnc";"4.1K";"wwwKOLOKOLAru";"2ozKwlXEIgU";"https://i.ytimg.com/vi/dyzkBOIUfnc/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYUCBhKGUwDw==&rs=AOn4CLALdVZl45jHXcLGbhMRSqujS4lr4w"
"Полицией Санкт-Петербурга выявлена сеть ночных баров, где у посетителей обманом похищались деньги";"D36DXTGkzOo";"2M";"МВД МЕДИА";"4E6RLFOh7ss";"https://i.ytimg.com/vi/D36DXTGkzOo/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYZSBUKEUwDw==&rs=AOn4CLAZOE_dQSSxOweyeLQYuilQErFMag"
"Escenas | Operativo Casa Segura  y detenciones en las últimas horas";"8NroffJqYoM";"8.8M";"PNC El Salvador (POLICÍA NACIONAL CIVIL)";"4E6RLFOh7ss";"https://i.ytimg.com/vi/8NroffJqYoM/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYQSBGKH8wDw==&rs=AOn4CLC34yElJxuSkDfUHzwy8ZzLaLHhfg"
"Лукашенко: Так, директор где? Говори! Импорт или наше? // Шкловский район";"NLnf6C9EZIk";"1.1M";"Информационное агентство БелТА";"4E6RLFOh7ss";"https://i.ytimg.com/vi/NLnf6C9EZIk/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLAwKHqOpx4rlGzjQq4jLrjCULOWyw"
"Узники ""Черного дельфина"". Где содержат самых страшных преступников";"B90jMioAouQ";"12M";"Центральное Телевидение";"4E6RLFOh7ss";"https://i.ytimg.com/vi/B90jMioAouQ/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCCYKuNXu0xZJGyRIOeFxlAmTR_sA"
"Спецназ ФСБ задержал главу  азербайджанской диаспоры в Екатеринбурге. После допроса его отпустили";"V0zrM66RW2w";"444K";"Гулагу-нет Официальный канал";"4E6RLFOh7ss";"https://i.ytimg.com/vi/V0zrM66RW2w/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDRvSB_8cXlGIdY1fiCQZ_Vx_o0Wg"
"Это спасет, когда заблокируют ВЕСЬ ИНТЕРНЕТ!";"5iz5d8urO8I";"40K";"Физика от Побединского";"4E6RLFOh7ss";"https://i.ytimg.com/vi/5iz5d8urO8I/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLC5i6eA2x7UeDcoxyBjnR8Yajn6lg"
